ISBN,End Date,Title,Author,Interval,Volume,Value,ASP,RRP,Binding,Imprint,Publisher Group,Product Class,Product Category,Publication Date,Country of Publication
9780241003008,2012-04-07,"Very Hungry Caterpillar,The","Carle, Eric",201215,684.0,3750.16,5.4827,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-04-07,"Very Hungry Caterpillar,The","Carle, Eric",201215,0.0,3750.16,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-04-07,"Alchemist,The","Coelho, Paulo",201215,884.0,6028.28,6.8193,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780722532935,2012-04-14,"Alchemist,The","Coelho, Paulo",201216,725.0,4863.68,6.7085,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-04-14,"Very Hungry Caterpillar,The","Carle, Eric",201216,560.0,2961.79,5.2889,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-04-14,"Very Hungry Caterpillar,The","Carle, Eric",201216,0.0,2961.79,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-04-21,"Alchemist,The","Coelho, Paulo",201217,824.0,5499.81,6.6745,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-04-21,"Very Hungry Caterpillar,The","Carle, Eric",201217,0.0,3148.53,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780241003008,2012-04-21,"Very Hungry Caterpillar,The","Carle, Eric",201217,578.0,3148.53,5.4473,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-04-28,"Very Hungry Caterpillar,The","Carle, Eric",201218,0.0,3371.05,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-04-28,"Alchemist,The","Coelho, Paulo",201218,747.0,5027.98,6.7309,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-04-28,"Very Hungry Caterpillar,The","Carle, Eric",201218,609.0,3371.05,5.5354,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780722532935,2012-05-05,"Alchemist,The","Coelho, Paulo",201219,763.0,5142.0,6.7392,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-05-05,"Very Hungry Caterpillar,The","Carle, Eric",201219,599.0,3191.3,5.3277,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-05-05,"Very Hungry Caterpillar,The","Carle, Eric",201219,0.0,3191.3,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780140500875,2012-05-12,"Very Hungry Caterpillar,The","Carle, Eric",201220,0.0,3071.96,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-05-12,"Alchemist,The","Coelho, Paulo",201220,588.0,3995.39,6.7949,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-05-12,"Very Hungry Caterpillar,The","Carle, Eric",201220,570.0,3071.96,5.3894,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780241003008,2012-05-19,"Very Hungry Caterpillar,The","Carle, Eric",201221,571.0,2993.66,5.2428,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-05-19,"Very Hungry Caterpillar,The","Carle, Eric",201221,0.0,2993.66,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-05-19,"Alchemist,The","Coelho, Paulo",201221,530.0,3545.19,6.689,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-05-26,"Very Hungry Caterpillar,The","Carle, Eric",201222,0.0,2658.25,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-05-26,"Alchemist,The","Coelho, Paulo",201222,504.0,3492.31,6.9292,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-05-26,"Very Hungry Caterpillar,The","Carle, Eric",201222,483.0,2658.25,5.5036,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780241003008,2012-06-02,"Very Hungry Caterpillar,The","Carle, Eric",201223,590.0,3186.12,5.4002,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-06-02,"Very Hungry Caterpillar,The","Carle, Eric",201223,0.0,3186.12,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-06-02,"Alchemist,The","Coelho, Paulo",201223,522.0,3605.75,6.9076,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-06-09,"Very Hungry Caterpillar,The","Carle, Eric",201224,0.0,3529.63,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-06-09,"Alchemist,The","Coelho, Paulo",201224,476.0,3195.58,6.7134,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-06-09,"Very Hungry Caterpillar,The","Carle, Eric",201224,633.0,3529.63,5.576,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-06-16,"Very Hungry Caterpillar,The","Carle, Eric",201225,0.0,3601.73,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-06-16,"Alchemist,The","Coelho, Paulo",201225,605.0,4200.06,6.9422,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-06-16,"Very Hungry Caterpillar,The","Carle, Eric",201225,653.0,3601.73,5.5157,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-06-23,"Very Hungry Caterpillar,The","Carle, Eric",201226,0.0,3481.69,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-06-23,"Alchemist,The","Coelho, Paulo",201226,540.0,3689.95,6.8332,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-06-23,"Very Hungry Caterpillar,The","Carle, Eric",201226,623.0,3481.69,5.5886,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780241003008,2012-06-30,"Very Hungry Caterpillar,The","Carle, Eric",201227,647.0,3613.72,5.5853,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780722532935,2012-06-30,"Alchemist,The","Coelho, Paulo",201227,496.0,3452.99,6.9617,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-06-30,"Very Hungry Caterpillar,The","Carle, Eric",201227,0.0,3613.72,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-07-07,"Alchemist,The","Coelho, Paulo",201228,423.0,2963.77,7.0065,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-07-07,"Very Hungry Caterpillar,The","Carle, Eric",201228,678.0,3688.75,5.4406,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-07-07,"Very Hungry Caterpillar,The","Carle, Eric",201228,0.0,3688.75,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780241003008,2012-07-14,"Very Hungry Caterpillar,The","Carle, Eric",201229,685.0,3831.58,5.5935,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-07-14,"Very Hungry Caterpillar,The","Carle, Eric",201229,0.0,3831.58,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-07-14,"Alchemist,The","Coelho, Paulo",201229,480.0,3310.59,6.8971,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
